"","Year","Primary.Type","count","size"
"159",2016,"ROBBERY",11957,0.56460583135515
"160",2016,"THEFT",61399,1.27942517981684
"161",2017,"ASSAULT",4213,0.33514286214731
"162",2017,"BATTERY",11077,0.543432142988408
"163",2017,"BURGLARY",3213,0.292677682464448
"164",2017,"CRIMINAL DAMAGE",6825,0.426565347874739
"165",2017,"DECEPTIVE PRACTICE",4011,0.327009655173534
"166",2017,"MOTOR VEHICLE THEFT",2922,0.279109327598023
"167",2017,"NARCOTICS",2468,0.25651148940601
"168",2017,"OTHER OFFENSE",4392,0.342188500301297
"169",2017,"ROBBERY",2711,0.268843167423916
"170",2017,"THEFT",13823,0.607065285312659
